=================================================
                RAPPORT RELEVÉS IoT              
=================================================
Date : 2026-02-24

Type;Valeur;Unité;Capteur
temperature;73.08;unité;17
Humidité du sol;49.14;%;4
pH du sol;6.31;pH;5
Pluviométrie;0.09;mm;7
Luminosité;79517.77;lux;8
Vitesse du vent;10.28;km/h;9
Température Test;26.45;unité;16
temperature;40.98;unité;17
Humidité du sol;60.6;%;4
pH du sol;7.11;pH;5
Pluviométrie;7.27;mm;7
Luminosité;65546.92;lux;8
Vitesse du vent;10.02;km/h;9
Température Test;22.37;unité;16
temperature;92.53;unité;17
Humidité du sol;78.09;%;4
pH du sol;6.17;pH;5
Pluviométrie;8.11;mm;7
Luminosité;71384.36;lux;8
Vitesse du vent;34.83;km/h;9
Température Test;18.12;unité;16
temperature;16.74;unité;17
Humidité du sol;69.18;%;4
pH du sol;7.03;pH;5
Pluviométrie;0.62;mm;7
Luminosité;33696.93;lux;8
Vitesse du vent;33.13;km/h;9
Température Test;24.98;unité;16
temperature;33.67;unité;17
Humidité du sol;71.46;%;4
pH du sol;6.22;pH;5
Pluviométrie;0.63;mm;7
Luminosité;26996.84;lux;8
Vitesse du vent;48.37;km/h;9
Température Test;21.12;unité;16
temperature;76.89;unité;17
Humidité du sol;68.12;%;4
pH du sol;6.04;pH;5
Pluviométrie;0.55;mm;7
Luminosité;93102.01;lux;8
Vitesse du vent;12.71;km/h;9
Température Test;31.69;unité;16
temperature;84.44;unité;17
Humidité du sol;44.21;%;4
pH du sol;7.06;pH;5
Pluviométrie;3.51;mm;7
Luminosité;10807.92;lux;8
Vitesse du vent;17.77;km/h;9
Température Test;79.6;unité;16
temperature;1.77;unité;17
Humidité du sol;65.68;%;4
pH du sol;6.41;pH;5
Pluviométrie;8.23;mm;7
Luminosité;41791.39;lux;8
Vitesse du vent;16.55;km/h;9
Température Test;66.21;unité;16
temperature;26.89;unité;17
Humidité du sol;45.79;%;4
pH du sol;6.35;pH;5
Pluviométrie;3.95;mm;7
Luminosité;48365.95;lux;8
Vitesse du vent;41.23;km/h;9
Température Test;93.82;unité;16
temperature;85.39;unité;17
Température Test;53.4;unité;16
temperature;4.77;unité;17
Humidité du sol;63.56;%;4
pH du sol;6.06;pH;5
Pluviométrie;0.55;mm;7
Luminosité;77808.31;lux;8
Vitesse du vent;12.91;km/h;9
Humidité du sol;60.33;%;4
pH du sol;6.27;pH;5
Pluviométrie;0.06;mm;7
Luminosité;9889.35;lux;8
Vitesse du vent;16.66;km/h;9
Température Test;28.03;unité;16
temperature;96.3;unité;17
Humidité du sol;41.63;%;4
pH du sol;6.54;pH;5
Pluviométrie;2.08;mm;7
Luminosité;79222.95;lux;8
Vitesse du vent;43.79;km/h;9
Température Test;14.54;unité;16
temperature;32.74;unité;17
Humidité du sol;41.43;%;4
pH du sol;7.27;pH;5
Pluviométrie;9.64;mm;7
Luminosité;78783.56;lux;8
Vitesse du vent;9.24;km/h;9
Température Test;4.01;unité;16
temperature;70.6;unité;17
Humidité du sol;73.53;%;4
pH du sol;6.27;pH;5
Pluviométrie;8.31;mm;7
Luminosité;89882.51;lux;8
Vitesse du vent;2.6;km/h;9
Température Test;96.76;unité;16
temperature;5.14;unité;17
Humidité du sol;62.19;%;4
pH du sol;7.13;pH;5
Pluviométrie;3.91;mm;7
Luminosité;93970.53;lux;8
Vitesse du vent;20.95;km/h;9
Température Test;83.73;unité;16
temperature;32.52;unité;17
Humidité du sol;54.24;%;4
pH du sol;7.3;pH;5
Pluviométrie;5.46;mm;7
Luminosité;32098.7;lux;8
Vitesse du vent;42.06;km/h;9
Température Test;98.73;unité;16
temperature;2.1;unité;17
Humidité du sol;73.97;%;4
pH du sol;7.29;pH;5
Pluviométrie;0.12;mm;7
Luminosité;58665.61;lux;8
Vitesse du vent;18.24;km/h;9
Température Test;59.6;unité;16
temperature;98.38;unité;17
Humidité du sol;44.05;%;4
pH du sol;6.8;pH;5
Pluviométrie;4.49;mm;7
Luminosité;24895.32;lux;8
Vitesse du vent;31.19;km/h;9
Température Test;76.86;unité;16
temperature;36.65;unité;17
Humidité du sol;42.46;%;4
pH du sol;7.2;pH;5
Pluviométrie;7.18;mm;7
Luminosité;13713.42;lux;8
Vitesse du vent;6.93;km/h;9
Température Test;79.14;unité;16
temperature;46.95;unité;17
Humidité du sol;77.3;%;4
pH du sol;6.7;pH;5
Pluviométrie;3.65;mm;7
Luminosité;68053.62;lux;8
Vitesse du vent;4.28;km/h;9
Température Test;42.03;unité;16
temperature;75.18;unité;17
Humidité du sol;78.59;%;4
pH du sol;6.94;pH;5
Pluviométrie;9.27;mm;7
Luminosité;67591.0;lux;8
Vitesse du vent;20.15;km/h;9
Température Test;92.19;unité;16
temperature;15.45;unité;17
pH du sol;6.39;pH;5
Pluviométrie;7.0;mm;7
Luminosité;99616.26;lux;8
Vitesse du vent;49.77;km/h;9
Température Test;32.11;unité;16
temperature;96.26;unité;17
Humidité du sol;61.55;%;4
Humidité du sol;73.23;%;4
pH du sol;6.62;pH;5
Pluviométrie;6.84;mm;7
Luminosité;6986.52;lux;8
Vitesse du vent;31.78;km/h;9
Température Test;90.96;unité;16
temperature;53.77;unité;17
Humidité du sol;62.36;%;4
pH du sol;6.19;pH;5
Pluviométrie;9.24;mm;7
Luminosité;23129.69;lux;8
Vitesse du vent;9.05;km/h;9
Température Test;0.08;unité;16
temperature;21.95;unité;17
Humidité du sol;63.74;%;4
pH du sol;7.41;pH;5
Pluviométrie;4.81;mm;7
Luminosité;76587.28;lux;8
Vitesse du vent;18.28;km/h;9
Température Test;91.79;unité;16
temperature;20.2;unité;17
Humidité du sol;45.95;%;4
pH du sol;6.54;pH;5
Pluviométrie;4.43;mm;7
Luminosité;12858.21;lux;8
Vitesse du vent;36.02;km/h;9
Température Test;66.65;unité;16
temperature;95.3;unité;17
Humidité du sol;53.86;%;4
pH du sol;6.49;pH;5
Pluviométrie;5.0;mm;7
Luminosité;47146.39;lux;8
Vitesse du vent;2.84;km/h;9
Température Test;91.31;unité;16
temperature;4.03;unité;17
Pluviométrie;1.33;mm;7
Luminosité;24106.96;lux;8
Vitesse du vent;38.8;km/h;9
Température Test;28.65;unité;16
temperature;80.32;unité;17
Humidité du sol;69.22;%;4
pH du sol;7.43;pH;5
Humidité du sol;62.48;%;4
pH du sol;7.02;pH;5
Pluviométrie;0.21;mm;7
Luminosité;92617.94;lux;8
Vitesse du vent;20.15;km/h;9
Température Test;62.25;unité;16
temperature;33.13;unité;17
Humidité du sol;70.23;%;4
pH du sol;6.14;pH;5
Pluviométrie;1.67;mm;7
Luminosité;78709.74;lux;8
Vitesse du vent;26.24;km/h;9
Température Test;33.43;unité;16
temperature;26.2;unité;17
Humidité du sol;71.39;%;4
pH du sol;7.09;pH;5
Pluviométrie;6.11;mm;7
Luminosité;30073.01;lux;8
Vitesse du vent;6.49;km/h;9
Température Test;19.37;unité;16
temperature;4.89;unité;17
Humidité du sol;49.22;%;4
pH du sol;7.26;pH;5
Pluviométrie;7.16;mm;7
Luminosité;35499.58;lux;8
Vitesse du vent;15.72;km/h;9
Température Test;25.41;unité;16
temperature;53.76;unité;17
temperature;10.21;unité;17
Humidité du sol;57.16;%;4
pH du sol;6.0;pH;5
Pluviométrie;3.94;mm;7
Luminosité;79506.37;lux;8
Vitesse du vent;9.67;km/h;9
Température Test;13.22;unité;16
Humidité du sol;49.21;%;4
pH du sol;6.95;pH;5
Pluviométrie;3.46;mm;7
Luminosité;18874.32;lux;8
Vitesse du vent;12.68;km/h;9
Température Test;16.6;unité;16
temperature;75.17;unité;17
Humidité du sol;65.1;%;4
pH du sol;7.39;pH;5
Pluviométrie;8.21;mm;7
Luminosité;40262.25;lux;8
Vitesse du vent;40.36;km/h;9
Température Test;1.97;unité;16
temperature;11.12;unité;17
Humidité du sol;70.79;%;4
pH du sol;6.95;pH;5
Pluviométrie;5.07;mm;7
Luminosité;36183.05;lux;8
Vitesse du vent;40.26;km/h;9
Température Test;55.33;unité;16
temperature;32.61;unité;17
Humidité du sol;69.79;%;4
pH du sol;7.21;pH;5
Pluviométrie;7.79;mm;7
Luminosité;97372.46;lux;8
Vitesse du vent;43.06;km/h;9
Température Test;10.45;unité;16
temperature;70.19;unité;17
Humidité du sol;54.98;%;4
pH du sol;6.55;pH;5
Pluviométrie;1.48;mm;7
Luminosité;74732.71;lux;8
Vitesse du vent;1.61;km/h;9
Température Test;97.65;unité;16
temperature;64.07;unité;17
Humidité du sol;48.23;%;4
pH du sol;6.94;pH;5
Pluviométrie;3.79;mm;7
Luminosité;82728.39;lux;8
Vitesse du vent;46.75;km/h;9
Température Test;58.67;unité;16
temperature;78.26;unité;17
Humidité du sol;46.7;%;4
pH du sol;6.56;pH;5
Pluviométrie;8.95;mm;7
Luminosité;49980.07;lux;8
Vitesse du vent;46.46;km/h;9
Température Test;88.41;unité;16
temperature;67.55;unité;17
Humidité du sol;63.43;%;4
pH du sol;6.83;pH;5
Pluviométrie;5.67;mm;7
Luminosité;10898.68;lux;8
Vitesse du vent;35.38;km/h;9
Température Test;64.02;unité;16
temperature;84.12;unité;17
temperature;90.17;unité;17
Humidité du sol;70.78;%;4
pH du sol;6.78;pH;5
Pluviométrie;3.03;mm;7
Luminosité;76121.45;lux;8
Vitesse du vent;42.81;km/h;9
Température Test;12.46;unité;16
Humidité du sol;59.43;%;4
pH du sol;6.73;pH;5
Pluviométrie;3.43;mm;7
Luminosité;43314.22;lux;8
Vitesse du vent;31.01;km/h;9
Température Test;91.34;unité;16
temperature;36.46;unité;17
Humidité du sol;54.91;%;4
pH du sol;6.35;pH;5
Pluviométrie;4.3;mm;7
Luminosité;58201.21;lux;8
Vitesse du vent;48.06;km/h;9
Température Test;7.42;unité;16
temperature;95.94;unité;17
Humidité du sol;46.54;%;4
pH du sol;6.35;pH;5
Pluviométrie;0.56;mm;7
Luminosité;91580.87;lux;8
Vitesse du vent;18.46;km/h;9
Température Test;42.16;unité;16
temperature;11.94;unité;17
Humidité du sol;70.34;%;4
pH du sol;6.97;pH;5
Pluviométrie;0.6;mm;7
Luminosité;44178.73;lux;8
Vitesse du vent;23.53;km/h;9
Température Test;33.82;unité;16
temperature;91.86;unité;17
Luminosité;8285.47;lux;8
Vitesse du vent;20.1;km/h;9
Température Test;44.65;unité;16
temperature;50.95;unité;17
Humidité du sol;61.58;%;4
pH du sol;7.45;pH;5
Pluviométrie;3.01;mm;7
Humidité du sol;62.72;%;4
pH du sol;6.42;pH;5
Pluviométrie;8.93;mm;7
Luminosité;68386.06;lux;8
Vitesse du vent;14.02;km/h;9
Température Test;11.32;unité;16
temperature;19.01;unité;17
Humidité du sol;59.15;%;4
pH du sol;6.24;pH;5
Pluviométrie;9.21;mm;7
Luminosité;50361.49;lux;8
Vitesse du vent;30.54;km/h;9
Température Test;28.23;unité;16
temperature;70.12;unité;17
Humidité du sol;51.72;%;4
pH du sol;6.83;pH;5
Pluviométrie;8.55;mm;7
Luminosité;22262.74;lux;8
Vitesse du vent;29.42;km/h;9
Température Test;60.77;unité;16
temperature;80.19;unité;17
Humidité du sol;75.41;%;4
pH du sol;6.23;pH;5
Pluviométrie;0.33;mm;7
Luminosité;18548.14;lux;8
Vitesse du vent;28.27;km/h;9
Température Test;89.29;unité;16
temperature;45.68;unité;17
Humidité du sol;43.76;%;4
pH du sol;6.89;pH;5
Pluviométrie;2.94;mm;7
Luminosité;7663.05;lux;8
Vitesse du vent;22.12;km/h;9
Température Test;28.31;unité;16
temperature;53.06;unité;17
Vitesse du vent;22.8;km/h;9
Température Test;78.99;unité;16
temperature;56.24;unité;17
Humidité du sol;71.68;%;4
pH du sol;7.21;pH;5
Pluviométrie;7.18;mm;7
Luminosité;96875.62;lux;8
Humidité du sol;40.3;%;4
pH du sol;6.11;pH;5
Pluviométrie;8.62;mm;7
Luminosité;92479.39;lux;8
Vitesse du vent;41.91;km/h;9
Température Test;35.29;unité;16
temperature;97.0;unité;17
pH du sol;7.34;pH;5
Pluviométrie;4.57;mm;7
Luminosité;24373.76;lux;8
Vitesse du vent;44.72;km/h;9
Température Test;79.15;unité;16
temperature;19.88;unité;17
Humidité du sol;63.5;%;4
Humidité du sol;75.04;%;4
pH du sol;7.41;pH;5
Pluviométrie;4.0;mm;7
Luminosité;5826.0;lux;8
Vitesse du vent;11.83;km/h;9
Température Test;43.03;unité;16
temperature;83.13;unité;17
Humidité du sol;62.75;%;4
pH du sol;6.5;pH;5
Pluviométrie;4.86;mm;7
Luminosité;50702.69;lux;8
Vitesse du vent;47.26;km/h;9
Température Test;26.16;unité;16
temperature;74.67;unité;17
Humidité du sol;53.28;%;4
pH du sol;6.88;pH;5
Pluviométrie;1.53;mm;7
Luminosité;29194.03;lux;8
Vitesse du vent;35.14;km/h;9
Température Test;2.16;unité;16
temperature;36.15;unité;17
Luminosité;18341.71;lux;8
Vitesse du vent;24.62;km/h;9
Température Test;57.07;unité;16
temperature;69.31;unité;17
Humidité du sol;62.91;%;4
pH du sol;7.09;pH;5
Pluviométrie;3.93;mm;7
Humidité du sol;54.09;%;4
pH du sol;6.91;pH;5
Pluviométrie;3.48;mm;7
Luminosité;33337.54;lux;8
Vitesse du vent;45.56;km/h;9
Température Test;34.8;unité;16
temperature;17.74;unité;17
Humidité du sol;56.02;%;4
pH du sol;7.12;pH;5
Pluviométrie;8.8;mm;7
Luminosité;86933.53;lux;8
Vitesse du vent;46.57;km/h;9
Température Test;89.99;unité;16
temperature;58.76;unité;17
Humidité du sol;54.1;%;4
pH du sol;6.36;pH;5
Pluviométrie;4.24;mm;7
Luminosité;72340.48;lux;8
Vitesse du vent;45.55;km/h;9
Température Test;29.21;unité;16
temperature;3.19;unité;17
temperature;21.05;unité;17
Humidité du sol;59.93;%;4
pH du sol;6.36;pH;5
Pluviométrie;2.4;mm;7
Luminosité;1539.14;lux;8
Vitesse du vent;32.13;km/h;9
Température Test;74.44;unité;16
Humidité du sol;54.6;%;4
pH du sol;6.52;pH;5
Pluviométrie;5.42;mm;7
Luminosité;32543.14;lux;8
Vitesse du vent;13.1;km/h;9
Température Test;10.19;unité;16
temperature;91.21;unité;17
Humidité du sol;43.14;%;4
pH du sol;7.32;pH;5
Pluviométrie;5.28;mm;7
Luminosité;5484.8;lux;8
Vitesse du vent;35.18;km/h;9
Température Test;77.63;unité;16
temperature;54.83;unité;17
Humidité du sol;45.4;%;4
pH du sol;6.06;pH;5
Pluviométrie;1.4;mm;7
Luminosité;88454.89;lux;8
Vitesse du vent;12.82;km/h;9
Humidité du sol;76.8;%;4
pH du sol;6.94;pH;5
Pluviométrie;4.73;mm;7
Luminosité;86832.52;lux;8
Vitesse du vent;12.47;km/h;9
pH du sol;7.39;pH;5
Pluviométrie;0.84;mm;7
Luminosité;19048.96;lux;8
Vitesse du vent;3.8;km/h;9
Humidité du sol;65.7;%;4
Humidité du sol;44.21;%;4
pH du sol;6.81;pH;5
Pluviométrie;6.2;mm;7
Luminosité;1328.94;lux;8
Vitesse du vent;5.71;km/h;9
Humidité du sol;63.0;%;4
pH du sol;6.08;pH;5
Pluviométrie;2.96;mm;7
Luminosité;10471.34;lux;8
Vitesse du vent;12.34;km/h;9
Pluviométrie;9.17;mm;7
Luminosité;6010.46;lux;8
Vitesse du vent;11.78;km/h;9
Humidité du sol;78.67;%;4
pH du sol;7.38;pH;5
Humidité du sol;55.8;%;4
pH du sol;6.17;pH;5
Pluviométrie;3.13;mm;7
Luminosité;79112.91;lux;8
Vitesse du vent;6.79;km/h;9
Humidité du sol;75.26;%;4
pH du sol;6.66;pH;5
Pluviométrie;3.72;mm;7
Luminosité;22337.4;lux;8
Vitesse du vent;21.48;km/h;9
Humidité du sol;53.25;%;4
pH du sol;7.47;pH;5
Pluviométrie;9.57;mm;7
Luminosité;47952.66;lux;8
Vitesse du vent;43.41;km/h;9
Humidité du sol;62.27;%;4
pH du sol;6.37;pH;5
Pluviométrie;5.51;mm;7
Luminosité;18337.88;lux;8
Vitesse du vent;18.76;km/h;9
Humidité du sol;50.07;%;4
pH du sol;6.48;pH;5
Pluviométrie;5.23;mm;7
Luminosité;77439.39;lux;8
Vitesse du vent;39.5;km/h;9
Humidité du sol;51.36;%;4
pH du sol;6.52;pH;5
Pluviométrie;7.85;mm;7
Luminosité;50226.37;lux;8
Vitesse du vent;43.17;km/h;9
Humidité du sol;49.6;%;4
pH du sol;6.66;pH;5
Pluviométrie;8.74;mm;7
Luminosité;57564.32;lux;8
Vitesse du vent;38.79;km/h;9
Humidité du sol;73.12;%;4
pH du sol;7.32;pH;5
Pluviométrie;9.95;mm;7
Luminosité;61970.14;lux;8
Vitesse du vent;42.05;km/h;9
Humidité du sol;59.17;%;4
pH du sol;6.35;pH;5
Pluviométrie;3.77;mm;7
Luminosité;4804.77;lux;8
Vitesse du vent;24.57;km/h;9
Humidité du sol;76.82;%;4
pH du sol;7.18;pH;5
Pluviométrie;6.88;mm;7
Luminosité;20476.55;lux;8
Vitesse du vent;41.67;km/h;9
Humidité du sol;78.26;%;4
pH du sol;6.36;pH;5
Pluviométrie;5.16;mm;7
Luminosité;76979.64;lux;8
Vitesse du vent;44.08;km/h;9
Humidité du sol;69.09;%;4
pH du sol;7.11;pH;5
Pluviométrie;0.32;mm;7
Luminosité;67930.49;lux;8
Vitesse du vent;7.43;km/h;9
Humidité du sol;76.49;%;4
pH du sol;6.53;pH;5
Pluviométrie;6.34;mm;7
Luminosité;68706.23;lux;8
Vitesse du vent;27.52;km/h;9
Humidité du sol;41.14;%;4
pH du sol;6.27;pH;5
Pluviométrie;8.21;mm;7
Luminosité;34238.91;lux;8
Vitesse du vent;28.85;km/h;9
Humidité du sol;69.25;%;4
pH du sol;6.94;pH;5
Pluviométrie;5.57;mm;7
Luminosité;9723.14;lux;8
Vitesse du vent;26.16;km/h;9
pH du sol;6.79;pH;5
Pluviométrie;4.26;mm;7
Luminosité;37686.57;lux;8
Vitesse du vent;36.62;km/h;9
Humidité du sol;47.09;%;4
Humidité du sol;46.91;%;4
pH du sol;6.32;pH;5
Pluviométrie;0.03;mm;7
Luminosité;10785.33;lux;8
Vitesse du vent;17.21;km/h;9
Humidité du sol;75.12;%;4
pH du sol;6.49;pH;5
Pluviométrie;5.46;mm;7
Luminosité;6680.43;lux;8
Vitesse du vent;7.68;km/h;9
Humidité du sol;63.19;%;4
pH du sol;7.12;pH;5
Pluviométrie;2.39;mm;7
Luminosité;69641.0;lux;8
Vitesse du vent;41.47;km/h;9
Pluviométrie;0.12;mm;7
Luminosité;36952.51;lux;8
Vitesse du vent;44.42;km/h;9
Humidité du sol;62.13;%;4
pH du sol;6.9;pH;5
Humidité du sol;62.44;%;4
pH du sol;6.21;pH;5
Pluviométrie;1.8;mm;7
Luminosité;33646.85;lux;8
Vitesse du vent;36.31;km/h;9
Humidité du sol;48.51;%;4
pH du sol;6.11;pH;5
Pluviométrie;7.99;mm;7
Luminosité;98881.34;lux;8
Vitesse du vent;41.02;km/h;9
Humidité du sol;58.46;%;4
pH du sol;6.89;pH;5
Pluviométrie;0.88;mm;7
Luminosité;71720.86;lux;8
Vitesse du vent;14.11;km/h;9
Humidité du sol;67.65;%;4
pH du sol;7.2;pH;5
Pluviométrie;0.59;mm;7
Luminosité;7738.0;lux;8
Vitesse du vent;13.7;km/h;9
Humidité du sol;73.92;%;4
pH du sol;6.64;pH;5
Pluviométrie;3.77;mm;7
Luminosité;60644.47;lux;8
Vitesse du vent;4.84;km/h;9
Humidité du sol;71.97;%;4
pH du sol;6.14;pH;5
Pluviométrie;1.51;mm;7
Luminosité;84155.62;lux;8
Vitesse du vent;23.64;km/h;9
Pluviométrie;5.98;mm;7
Luminosité;53864.7;lux;8
Vitesse du vent;9.35;km/h;9
Humidité du sol;52.09;%;4
pH du sol;7.05;pH;5
Humidité du sol;55.78;%;4
pH du sol;6.05;pH;5
Pluviométrie;0.73;mm;7
Luminosité;47292.56;lux;8
Vitesse du vent;12.41;km/h;9
Humidité du sol;68.23;%;4
pH du sol;6.88;pH;5
Pluviométrie;8.95;mm;7
Luminosité;29857.99;lux;8
Vitesse du vent;41.89;km/h;9
Humidité du sol;60.05;%;4
pH du sol;7.26;pH;5
Pluviométrie;8.05;mm;7
Luminosité;99830.35;lux;8
Vitesse du vent;3.78;km/h;9
Humidité du sol;60.99;%;4
pH du sol;6.53;pH;5
Pluviométrie;3.24;mm;7
Luminosité;87972.31;lux;8
Vitesse du vent;19.41;km/h;9
Humidité du sol;56.88;%;4
pH du sol;7.43;pH;5
Pluviométrie;3.54;mm;7
Luminosité;33390.52;lux;8
Vitesse du vent;19.16;km/h;9
Humidité du sol;52.35;%;4
pH du sol;7.13;pH;5
Pluviométrie;3.79;mm;7
Luminosité;75687.59;lux;8
Vitesse du vent;6.78;km/h;9
Humidité du sol;56.36;%;4
pH du sol;7.44;pH;5
Pluviométrie;3.91;mm;7
Luminosité;32882.94;lux;8
Vitesse du vent;18.13;km/h;9
Humidité du sol;53.61;%;4
pH du sol;7.04;pH;5
Pluviométrie;0.73;mm;7
Luminosité;3203.48;lux;8
Vitesse du vent;14.88;km/h;9
Vitesse du vent;23.87;km/h;9
Humidité du sol;79.38;%;4
pH du sol;6.57;pH;5
Pluviométrie;2.84;mm;7
Luminosité;12173.36;lux;8
Humidité du sol;67.39;%;4
pH du sol;6.58;pH;5
Pluviométrie;2.85;mm;7
Luminosité;69360.14;lux;8
Vitesse du vent;38.63;km/h;9
Humidité du sol;70.49;%;4
pH du sol;6.38;pH;5
Pluviométrie;6.83;mm;7
Luminosité;42545.66;lux;8
Vitesse du vent;41.54;km/h;9
Humidité du sol;79.82;%;4
pH du sol;6.16;pH;5
Pluviométrie;8.52;mm;7
Luminosité;88442.67;lux;8
Vitesse du vent;12.45;km/h;9
Humidité du sol;52.52;%;4
pH du sol;6.32;pH;5
Pluviométrie;7.05;mm;7
Luminosité;24332.89;lux;8
Vitesse du vent;25.94;km/h;9
Pluviométrie;6.6;mm;7
Luminosité;84904.59;lux;8
Vitesse du vent;6.33;km/h;9
Humidité du sol;62.67;%;4
pH du sol;6.31;pH;5
Humidité du sol;73.47;%;4
pH du sol;6.47;pH;5
Pluviométrie;4.05;mm;7
Luminosité;8525.13;lux;8
Vitesse du vent;29.63;km/h;9
Humidité du sol;75.9;%;4
pH du sol;7.36;pH;5
Pluviométrie;3.22;mm;7
Luminosité;97426.0;lux;8
Vitesse du vent;26.67;km/h;9
Luminosité;5670.03;lux;8
Vitesse du vent;24.38;km/h;9
Humidité du sol;64.45;%;4
pH du sol;6.5;pH;5
Pluviométrie;4.49;mm;7
Humidité du sol;48.6;%;4
pH du sol;7.23;pH;5
Pluviométrie;9.16;mm;7
Luminosité;20380.11;lux;8
Vitesse du vent;12.45;km/h;9
Humidité du sol;70.77;%;4
pH du sol;6.52;pH;5
Pluviométrie;1.73;mm;7
Luminosité;80560.62;lux;8
Vitesse du vent;45.13;km/h;9
Pluviométrie;1.12;mm;7
Luminosité;91757.72;lux;8
Vitesse du vent;3.32;km/h;9
Humidité du sol;58.95;%;4
pH du sol;6.81;pH;5
Humidité du sol;79.0;%;4
